original_country,original_city,original_date,description,country_modified_for_geo,city_modified_for_geo,date,sec_id,sec_name,id,glat,glon,gcity,gcountry,isGeocoded,split_added,original_line,start_time,end_time,start_time_form,end_time_form,elapsed_days
Belgium,Brussels,"November 12���16, 1968",Attended NATO Ministerial Meeting.,Belgium,Brussels,,sec-16,David Dean Rusk,496,50.8503463,4.3517211,,Belgium,1,,,-35838000000,-35492400000,Tue Nov 12 1968 00:00:00 GMT-0500 (EST),Sat Nov 16 1968 00:00:00 GMT-0500 (EST),4
Spain,Madrid,"November 16���18, 1968",Met with Generalissimo Franco and Foreign Minister Castiella.,Spain,Madrid,,sec-16,David Dean Rusk,497,40.4167754,-3.7037902,Madrid,Spain,1,,,-35492400000,-35319600000,Sat Nov 16 1968 00:00:00 GMT-0500 (EST),Mon Nov 18 1968 00:00:00 GMT-0500 (EST),2
Portugal,Lisbon,"November 18���19, 1968",Met with Premier Caetano and Foreign Minister Franco Nogueira.,Portugal,Lisbon,,sec-16,David Dean Rusk,498,38.7222524,-9.1393366,Lisbon,Portugal,1,,,-35319600000,-35233200000,Mon Nov 18 1968 00:00:00 GMT-0500 (EST),Tue Nov 19 1968 00:00:00 GMT-0500 (EST),1
Belgium,Brussels,"February 23���24, 1969",Accompanied President Nixon; attended the 23d meeting of the North Atlantic Council.,Belgium,Brussels,,sec-17,William Pierce Rogers,499,50.8503463,4.3517211,,Belgium,1,,,-26938800000,-26852400000,Sun Feb 23 1969 00:00:00 GMT-0500 (EST),Mon Feb 24 1969 00:00:00 GMT-0500 (EST),1
United Kingdom,London,"February 24���26, 1969",Accompanied President Nixon on an informal visit.,United Kingdom,London,,sec-17,William Pierce Rogers,500,51.5073509,-0.1277583,London,United Kingdom,1,,,-26852400000,-26679600000,Mon Feb 24 1969 00:00:00 GMT-0500 (EST),Wed Feb 26 1969 00:00:00 GMT-0500 (EST),2
"Germany, Federal Republic of",Bonn,"February 26���27, 1969",Accompanied President Nixon.,"Germany, Federal Republic of",Bonn,,sec-17,William Pierce Rogers,501,50.73743,7.0982068,Bonn,Germany,1,,,-26679600000,-26593200000,Wed Feb 26 1969 00:00:00 GMT-0500 (EST),Thu Feb 27 1969 00:00:00 GMT-0500 (EST),1
Germany,West Berlin,27-Feb-69,Accompanied President Nixon.,Germany,West Berlin,,sec-17,William Pierce Rogers,502,52.5200066,13.404954,Berlin,Germany,1,,,-26593200000,-26506800000,Thu Feb 27 1969 00:00:00 GMT-0500 (EST),Fri Feb 28 1969 00:00:00 GMT-0500 (EST),1
Italy,Rome,"February 27���28, 1969","Accompanied President Nixon.March 2, 1969",Italy,Rome,,sec-17,William Pierce Rogers,503,41.9027835,12.4963655,Rome,Italy,1,,,-26593200000,-26506800000,Thu Feb 27 1969 00:00:00 GMT-0500 (EST),Fri Feb 28 1969 00:00:00 GMT-0500 (EST),1
Vatican City,,2-Mar-69,Accompanied President Nixon.,Vatican City,,,sec-17,William Pierce Rogers,504,41.902916,12.453389,,Vatican City,1,,,-26334000000,-26247600000,Sun Mar 02 1969 00:00:00 GMT-0500 (EST),Mon Mar 03 1969 00:00:00 GMT-0500 (EST),1
Vietnam,Saigon,"May 14���19, 1969",Met with President Thieu and U.S. and Vietnamese officials. Left U.S. May 12.,Vietnam,Saigon,,sec-17,William Pierce Rogers,505,10.8230989,106.6296638,Ho Chi Minh City,Vietnam,1,,,-20030400000,-19598400000,Wed May 14 1969 00:00:00 GMT-0400 (EDT),Mon May 19 1969 00:00:00 GMT-0400 (EDT),5
Thailand,Bangkok,"May 19���23, 1969",Attended the SEATO Council and Seven-Nation Meetings.,Thailand,Bangkok,,sec-17,William Pierce Rogers,506,13.7563309,100.5017651,Bangkok,Thailand,1,,,-19598400000,-19252800000,Mon May 19 1969 00:00:00 GMT-0400 (EDT),Fri May 23 1969 00:00:00 GMT-0400 (EDT),4
India,New Delhi,"May 23���24, 1969",Met with Prime Minister Gandhi and senior Indian officials.,India,New Delhi,,sec-17,William Pierce Rogers,507,28.6139391,77.2090212,New Delhi,India,1,,,-19252800000,-19166400000,Fri May 23 1969 00:00:00 GMT-0400 (EDT),Sat May 24 1969 00:00:00 GMT-0400 (EDT),1
Pakistan,Lahore,"May 24���25, 1969",Met with President Yahya and senior Pakistani officials.,Pakistan,Lahore,,sec-17,William Pierce Rogers,508,31.5546061,74.3571581,Lahore,Pakistan,1,,,-19166400000,-19080000000,Sat May 24 1969 00:00:00 GMT-0400 (EDT),Sun May 25 1969 00:00:00 GMT-0400 (EDT),1
Afghanistan,Kabul,25-May-69,Met with King Mohammad Zahir Shah and Prime Minister Etemadi.,Afghanistan,Kabul,,sec-17,William Pierce Rogers,509,34.5553494,69.207486,Kabul,Afghanistan,1,,,-19080000000,-18993600000,Sun May 25 1969 00:00:00 GMT-0400 (EDT),Mon May 26 1969 00:00:00 GMT-0400 (EDT),1
Iran,Tehran,"May 26���28, 1969",Attended CENTO Ministerial Meeting.,Iran,Tehran,,sec-17,William Pierce Rogers,510,35.6891975,51.3889736,Tehran,Iran,1,,,-18993600000,-18820800000,Mon May 26 1969 00:00:00 GMT-0400 (EDT),Wed May 28 1969 00:00:00 GMT-0400 (EDT),2
Canada,Montreal,27-Jun-69,Accompanied President Nixon to the 10th Anniversary ceremonies of the St. Lawrence Seaway.,Canada,Montreal,,sec-17,William Pierce Rogers,511,45.5016889,-73.567256,Montreal,Canada,1,,,-16228800000,-16142400000,Fri Jun 27 1969 00:00:00 GMT-0400 (EDT),Sat Jun 28 1969 00:00:00 GMT-0400 (EDT),1
Philippines,Manila,"July 26���27, 1969",Accompanied President Nixon on a State visit.,Philippines,Manila,,sec-17,William Pierce Rogers,512,14.5995124,120.9842195,Manila,Philippines,1,,,-13723200000,-13636800000,Sat Jul 26 1969 00:00:00 GMT-0400 (EDT),Sun Jul 27 1969 00:00:00 GMT-0400 (EDT),1
Indonesia,Djakarta,"July 27���28, 1969",Accompanied President Nixon on a State visit.,Indonesia,Djakarta,,sec-17,William Pierce Rogers,513,-6.1744651,106.822745,,Indonesia,1,,,-13636800000,-13550400000,Sun Jul 27 1969 00:00:00 GMT-0400 (EDT),Mon Jul 28 1969 00:00:00 GMT-0400 (EDT),1
Japan,Tokyo,"July 28���31, 1969",Attended a meeting of the Joint Committee on Trade and Economic Development. Signed a space cooperation agreement.,Japan,Tokyo,,sec-17,William Pierce Rogers,514,35.6894875,139.6917064,,Japan,1,,,-13550400000,-13291200000,Mon Jul 28 1969 00:00:00 GMT-0400 (EDT),Thu Jul 31 1969 00:00:00 GMT-0400 (EDT),3
"Korea, Republic of",Seoul,"July 31���August 1, 1969",Met with President Park and senior Korean officials.,"Korea, Republic of",Seoul,,sec-17,William Pierce Rogers,515,37.566535,126.9779692,Seoul,South Korea,1,,,-13291200000,-13204800000,Thu Jul 31 1969 00:00:00 GMT-0400 (EDT),Fri Aug 01 1969 00:00:00 GMT-0400 (EDT),1
Republic of China,Taipei,"August 1���3, 1969",Met with President Chiang and senior Chinese Nationalist officials.,Republic of China,Taipei,,sec-17,William Pierce Rogers,516,25.0329636,121.5654268,,Taiwan,1,,,-13204800000,-13032000000,Fri Aug 01 1969 00:00:00 GMT-0400 (EDT),Sun Aug 03 1969 00:00:00 GMT-0400 (EDT),2
United Kingdom,Hong Kong,"August 3���5, 1969",Met with British colonial officials and held a press conference.,United Kingdom,Hong Kong,,sec-17,William Pierce Rogers,517,22.276156,114.164989,,Hong Kong,1,,,-13032000000,-12859200000,Sun Aug 03 1969 00:00:00 GMT-0400 (EDT),Tue Aug 05 1969 00:00:00 GMT-0400 (EDT),2
Indonesia,Bali,"August 5���7, 1969",Met with Foreign Minister Malik.,Indonesia,Bali,,sec-17,William Pierce Rogers,518,-8.3405389,115.0919509,,Indonesia,1,,,-12859200000,-12686400000,Tue Aug 05 1969 00:00:00 GMT-0400 (EDT),Thu Aug 07 1969 00:00:00 GMT-0400 (EDT),2
Australia,Canberra,"August 7���9, 1969",Attended ANZUS Council Meeting.,Australia,Canberra,,sec-17,William Pierce Rogers,519,-35.2809368,149.1300092,Canberra,Australia,1,,,-12686400000,-12513600000,Thu Aug 07 1969 00:00:00 GMT-0400 (EDT),Sat Aug 09 1969 00:00:00 GMT-0400 (EDT),2
New Zealand,Auckland,"August 9���10, 1969",Met with Prime Minister Holyoake.,New Zealand,Auckland,,sec-17,William Pierce Rogers,520,-36.8484597,174.7633315,Auckland,New Zealand,1,,,-12513600000,-12427200000,Sat Aug 09 1969 00:00:00 GMT-0400 (EDT),Sun Aug 10 1969 00:00:00 GMT-0400 (EDT),1
Mexico,Ciudad Acuna,8-Sep-69,Accompanied President Nixon to the dedication of the Amistad Dam.,Mexico,Ciudad Acuna,,sec-17,William Pierce Rogers,521,29.3232963,-100.9514187,Ciudad Acu̱a,Mexico,1,,,-9921600000,-9835200000,Mon Sep 08 1969 00:00:00 GMT-0400 (EDT),Tue Sep 09 1969 00:00:00 GMT-0400 (EDT),1
Belgium,Brussels,"December 2���5, 1969",Attended NATO Ministerial Meeting. Visited the Commission of the European Communities.,Belgium,Brussels,,sec-17,William Pierce Rogers,522,50.8503463,4.3517211,,Belgium,1,,,-2574000000,-2314800000,Tue Dec 02 1969 00:00:00 GMT-0500 (EST),Fri Dec 05 1969 00:00:00 GMT-0500 (EST),3
"Germany, Federal Republic of",Bonn,5-Dec-69,"Met with Chancellor Brandt, Foreign Minister Scheel, and senior German officials.","Germany, Federal Republic of",Bonn,,sec-17,William Pierce Rogers,523,50.73743,7.0982068,Bonn,Germany,1,,,-2314800000,-2228400000,Fri Dec 05 1969 00:00:00 GMT-0500 (EST),Sat Dec 06 1969 00:00:00 GMT-0500 (EST),1
Belgium,Brussels,6-Dec-69,Addressed the Belgo-American Association.,Belgium,Brussels,,sec-17,William Pierce Rogers,524,50.8503463,4.3517211,,Belgium,1,,,-2228400000,-2142000000,Sat Dec 06 1969 00:00:00 GMT-0500 (EST),Sun Dec 07 1969 00:00:00 GMT-0500 (EST),1
France,Paris,"December 6���8, 1969","Met with President Pompidou, senior French officials, and with the U.S. delegation to the Vietnam Peace Talks.",France,Paris,,sec-17,William Pierce Rogers,525,48.856614,2.3522219,Paris,France,1,,,-2228400000,-2055600000,Sat Dec 06 1969 00:00:00 GMT-0500 (EST),Mon Dec 08 1969 00:00:00 GMT-0500 (EST),2
Morocco,Rabat,"February 7���9, 1970",Met with King Hassan II and senior Moroccan officials. Signed an air transport agreement.,Morocco,Rabat,,sec-17,William Pierce Rogers,526,33.9715904,-6.8498129,Rabat,Morocco,1,,,3214800000,3387600000,Sat Feb 07 1970 00:00:00 GMT-0500 (EST),Mon Feb 09 1970 00:00:00 GMT-0500 (EST),2
Tunisia,Tunis,"February 9���11, 1970",Met with President Bourguiba and senior Tunisian officials.,Tunisia,Tunis,,sec-17,William Pierce Rogers,527,36.8064948,10.1815316,Tunis,Tunisia,1,,,3387600000,3560400000,Mon Feb 09 1970 00:00:00 GMT-0500 (EST),Wed Feb 11 1970 00:00:00 GMT-0500 (EST),2
Ethiopia,Addis Ababa,"February 11���13, 1970",Met with Emperor Haile Selassie and senior Ethiopian officials. Addressed the Organization of African Unity February 12.,Ethiopia,Addis Ababa,,sec-17,William Pierce Rogers,528,8.9806034,38.7577605,Addis Ababa,Ethiopia,1,,,3560400000,3733200000,Wed Feb 11 1970 00:00:00 GMT-0500 (EST),Fri Feb 13 1970 00:00:00 GMT-0500 (EST),2
Kenya,Nairobi,"February 13���15, 1970",Met with President Kenyatta and senior Kenyan officials.,Kenya,Nairobi,,sec-17,William Pierce Rogers,529,-1.2920659,36.8219462,Nairobi,Kenya,1,,,3733200000,3906000000,Fri Feb 13 1970 00:00:00 GMT-0500 (EST),Sun Feb 15 1970 00:00:00 GMT-0500 (EST),2
Zambia,Lusaka,"February 15���16, 1970",Met with President Kaunda and senior Kenyan officials.,Zambia,Lusaka,,sec-17,William Pierce Rogers,530,-15.3875259,28.3228165,Lusaka,Zambia,1,,,3906000000,3992400000,Sun Feb 15 1970 00:00:00 GMT-0500 (EST),Mon Feb 16 1970 00:00:00 GMT-0500 (EST),1
Democratic Republic of the Congo (Zaire),Kinshasa,"February 16���18, 1970",Met with President Mobutu and senior Congolese officials. Attended a conference of U.S. Chiefs of Mission to African countries.,Democratic Republic of the Congo Zaire,Kinshasa,,sec-17,William Pierce Rogers,531,-4.3870606,15.9699878,,Democratic Republic of the Congo,1,,,3992400000,4165200000,Mon Feb 16 1970 00:00:00 GMT-0500 (EST),Wed Feb 18 1970 00:00:00 GMT-0500 (EST),2
Cameroon,"Douala, Yaounde","February 18���19, 1970",Met with President Ahidjo and senior Cameroonian officials.,Cameroon,Douala,,sec-17,William Pierce Rogers,532,4.0510564,9.7678687,Douala,Cameroon,1,,,4165200000,4251600000,Wed Feb 18 1970 00:00:00 GMT-0500 (EST),Thu Feb 19 1970 00:00:00 GMT-0500 (EST),1
Nigeria,Lagos,"February 19���20, 1970",Met with General Gowon and senior Nigerian officials.,Nigeria,Lagos,,sec-17,William Pierce Rogers,533,6.5243793,3.3792057,,Nigeria,1,,,4251600000,4338000000,Thu Feb 19 1970 00:00:00 GMT-0500 (EST),Fri Feb 20 1970 00:00:00 GMT-0500 (EST),1
Ghana,Accra,"February 20���21, 1970",Met with Prime Minister Busia and senior Ghanaian officials.,Ghana,Accra,,sec-17,William Pierce Rogers,534,5.6037168,-0.1869644,Accra,Ghana,1,,,4338000000,4424400000,Fri Feb 20 1970 00:00:00 GMT-0500 (EST),Sat Feb 21 1970 00:00:00 GMT-0500 (EST),1
Liberia,Monrovia,"February 21���22, 1970",Met with President Tubman and senior Liberian officials.,Liberia,Monrovia,,sec-17,William Pierce Rogers,535,6.2907432,-10.7605239,Monrovia,Liberia,1,,,4424400000,4510800000,Sat Feb 21 1970 00:00:00 GMT-0500 (EST),Sun Feb 22 1970 00:00:00 GMT-0500 (EST),1
Netherlands Antilles,Aruba,"February 22���23, 1970",Stopped while returning to U.S.,Netherlands Antilles,Aruba,,sec-17,William Pierce Rogers,536,12.52111,-69.968338,,Aruba,1,,,4510800000,4597200000,Sun Feb 22 1970 00:00:00 GMT-0500 (EST),Mon Feb 23 1970 00:00:00 GMT-0500 (EST),1
Italy,Rome,"May 24���28, 1970",Attended NATO Ministerial Meeting.,Italy,Rome,,sec-17,William Pierce Rogers,537,41.9027835,12.4963655,Rome,Italy,1,,,12369600000,12715200000,Sun May 24 1970 00:00:00 GMT-0400 (EDT),Thu May 28 1970 00:00:00 GMT-0400 (EDT),4
Spain,Madrid,"May 28���29, 1970",Met with Foreign Minister Lopez Bravo and senior Spanish officials.,Spain,Madrid,,sec-17,William Pierce Rogers,538,40.4167754,-3.7037902,Madrid,Spain,1,,,12715200000,12801600000,Thu May 28 1970 00:00:00 GMT-0400 (EDT),Fri May 29 1970 00:00:00 GMT-0400 (EDT),1
Portugal,Lisbon,"May 29���31, 1970",Met with Prime Minister Caetano and senior Portuguese officials. Amended an air transport agreement.,Portugal,Lisbon,,sec-17,William Pierce Rogers,539,38.7222524,-9.1393366,Lisbon,Portugal,1,,,12801600000,12974400000,Fri May 29 1970 00:00:00 GMT-0400 (EDT),Sun May 31 1970 00:00:00 GMT-0400 (EDT),2
Philippines,Manila,"July 1���4, 1970",Attended SEATO Ministerial Council Meeting.,Philippines,Manila,,sec-17,William Pierce Rogers,540,14.5995124,120.9842195,Manila,Philippines,1,,,15652800000,15912000000,Wed Jul 01 1970 00:00:00 GMT-0400 (EDT),Sat Jul 04 1970 00:00:00 GMT-0400 (EDT),3
Vietnam,Saigon,"July 4���7, 1970",Met with the Foreign Ministers of countries contributing troops to Vietnam.,Vietnam,Saigon,,sec-17,William Pierce Rogers,541,10.8230989,106.6296638,Ho Chi Minh City,Vietnam,1,,,15912000000,16171200000,Sat Jul 04 1970 00:00:00 GMT-0400 (EDT),Tue Jul 07 1970 00:00:00 GMT-0400 (EDT),3
Japan,Tokyo,"July 7���10, 1970",Attended a meeting of U.S. Chiefs of Mission to Asian countries and met with Prime Minister Sato and senior Japanese officials.,Japan,Tokyo,,sec-17,William Pierce Rogers,542,35.6894875,139.6917064,,Japan,1,,,16171200000,16430400000,Tue Jul 07 1970 00:00:00 GMT-0400 (EDT),Fri Jul 10 1970 00:00:00 GMT-0400 (EDT),3
United Kingdom,London,"July 10���12, 1970",Met with Prime Minister Heath and Foreign Secretary Home.,United Kingdom,London,,sec-17,William Pierce Rogers,543,51.5073509,-0.1277583,London,United Kingdom,1,,,16430400000,16603200000,Fri Jul 10 1970 00:00:00 GMT-0400 (EDT),Sun Jul 12 1970 00:00:00 GMT-0400 (EDT),2
Mexico,Puerto Vallarta,"August 20���21, 1970",Accompanied President Nixon during an official visit.,Mexico,Puerto Vallarta,,sec-17,William Pierce Rogers,544,20.653407,-105.2253316,Puerto Vallarta,Mexico,1,,,19972800000,20059200000,Thu Aug 20 1970 00:00:00 GMT-0400 (EDT),Fri Aug 21 1970 00:00:00 GMT-0400 (EDT),1
Italy,"Rome, Naples","September 27���30, 1970",Accompanied President Nixon on an official visit.,Italy,"Rome, Naples",,sec-17,William Pierce Rogers,545,,,,,,,1,23256000000,23515200000,Sun Sep 27 1970 00:00:00 GMT-0400 (EDT),Wed Sep 30 1970 00:00:00 GMT-0400 (EDT),3
Italy,"Rome, Naples","September 27���30, 1970",Accompanied President Nixon on an official visit.,Italy,Rome,,sec-17,William Pierce Rogers,546,41.9027835,12.4963655,Rome,Italy,1,1,,23256000000,23342400000,Sun Sep 27 1970 00:00:00 GMT-0400 (EDT),Mon Sep 28 1970 00:00:00 GMT-0400 (EDT),1
Italy,"Rome, Naples","September 27���30, 1970",Accompanied President Nixon on an official visit.,Italy,Naples,,sec-17,William Pierce Rogers,547,40.8517746,14.2681244,Naples,Italy,1,1,,23342400000,23515200000,Mon Sep 28 1970 00:00:00 GMT-0400 (EDT),Wed Sep 30 1970 00:00:00 GMT-0400 (EDT),2
Yugoslavia,"Belgrade, Zagreb","September 30���October 2, 1970",Accompanied President Nixon on a State visit.,Yugoslavia,"Belgrade, Zagreb",,sec-17,William Pierce Rogers,548,,,,,,,1,23515200000,23688000000,Wed Sep 30 1970 00:00:00 GMT-0400 (EDT),Fri Oct 02 1970 00:00:00 GMT-0400 (EDT),2
Yugoslavia,"Belgrade, Zagreb","September 30���October 2, 1970",Accompanied President Nixon on a State visit.,Yugoslavia,Belgrade,,sec-17,William Pierce Rogers,549,44.786568,20.4489216,Belgrade,Serbia,1,1,,23515200000,23601600000,Wed Sep 30 1970 00:00:00 GMT-0400 (EDT),Thu Oct 01 1970 00:00:00 GMT-0400 (EDT),1
Yugoslavia,"Belgrade, Zagreb","September 30���October 2, 1970",Accompanied President Nixon on a State visit.,Yugoslavia,Zagreb,,sec-17,William Pierce Rogers,550,45.8150108,15.981919,Zagreb,Croatia,1,1,,23601600000,23688000000,Thu Oct 01 1970 00:00:00 GMT-0400 (EDT),Fri Oct 02 1970 00:00:00 GMT-0400 (EDT),1
Spain,Madrid,"October 2���3, 1970",Accompanied President Nixon on a State visit.,Spain,Madrid,,sec-17,William Pierce Rogers,551,40.4167754,-3.7037902,Madrid,Spain,1,,,23688000000,23774400000,Fri Oct 02 1970 00:00:00 GMT-0400 (EDT),Sat Oct 03 1970 00:00:00 GMT-0400 (EDT),1
United Kingdom,London,3-Oct-70,Accompanied President Nixon on an informal visit.,United Kingdom,London,,sec-17,William Pierce Rogers,552,51.5073509,-0.1277583,London,United Kingdom,1,,,23774400000,23860800000,Sat Oct 03 1970 00:00:00 GMT-0400 (EDT),Sun Oct 04 1970 00:00:00 GMT-0400 (EDT),1
Ireland,"Dublin, Waterville, Timahoe","October 3���5, 1970",Accompanied President Nixon on a State visit.,Ireland,"Dublin, Waterville, Timahoe",,sec-17,William Pierce Rogers,553,,,,,,,1,23774400000,23947200000,Sat Oct 03 1970 00:00:00 GMT-0400 (EDT),Mon Oct 05 1970 00:00:00 GMT-0400 (EDT),2
Ireland,"Dublin, Waterville, Timahoe","October 3���5, 1970",Accompanied President Nixon on a State visit.,Ireland,Dublin,,sec-17,William Pierce Rogers,554,53.3498053,-6.2603097,Dublin,Ireland,1,1,,23774400000,23774400000,Sat Oct 03 1970 00:00:00 GMT-0400 (EDT),Sat Oct 03 1970 00:00:00 GMT-0400 (EDT),0
Ireland,"Dublin, Waterville, Timahoe","October 3���5, 1970",Accompanied President Nixon on a State visit.,Ireland,Waterville,,sec-17,William Pierce Rogers,555,51.829465,-10.1745436,Waterville,Ireland,1,1,,23774400000,23860800000,Sat Oct 03 1970 00:00:00 GMT-0400 (EDT),Sun Oct 04 1970 00:00:00 GMT-0400 (EDT),1
Ireland,"Dublin, Waterville, Timahoe","October 3���5, 1970",Accompanied President Nixon on a State visit.,Ireland,Timahoe,,sec-17,William Pierce Rogers,556,52.9606628,-7.2014633,Timahoe,Ireland,1,1,,23860800000,23947200000,Sun Oct 04 1970 00:00:00 GMT-0400 (EDT),Mon Oct 05 1970 00:00:00 GMT-0400 (EDT),1
France,Paris,"November 11���12, 1970",Accompanied President Nixon to the funeral of former President De Gaulle.,France,Paris,,sec-17,William Pierce Rogers,557,48.856614,2.3522219,Paris,France,1,,,27147600000,27234000000,Wed Nov 11 1970 00:00:00 GMT-0500 (EST),Thu Nov 12 1970 00:00:00 GMT-0500 (EST),1
Canada,Ottawa,"November 23���24, 1970",Attended a meeting of the Joint U.S.-Canadian Committee on Trade and Economic Affairs.,Canada,Ottawa,,sec-17,William Pierce Rogers,558,45.4215296,-75.6971931,Ottawa,Canada,1,,,28184400000,28270800000,Mon Nov 23 1970 00:00:00 GMT-0500 (EST),Tue Nov 24 1970 00:00:00 GMT-0500 (EST),1
Mexico,"Mexico, D.F.","November 29���December 1, 1970",Attended the inauguration of President Echeverria.,Mexico,Mexico City,,sec-17,William Pierce Rogers,559,19.2464696,-99.1013498,,Mexico,1,,,28702800000,28875600000,Sun Nov 29 1970 00:00:00 GMT-0500 (EST),Tue Dec 01 1970 00:00:00 GMT-0500 (EST),2
Belgium,Brussels,"December 2���5, 1970",Attended NATO Ministerial Meeting.,Belgium,Brussels,,sec-17,William Pierce Rogers,560,50.8503463,4.3517211,,Belgium,1,,,28962000000,29221200000,Wed Dec 02 1970 00:00:00 GMT-0500 (EST),Sat Dec 05 1970 00:00:00 GMT-0500 (EST),3
Costa Rica,San Jose,"April 13���16, 1971",Attended OAS General Assembly Meeting.,Costa Rica,San Jose,,sec-17,William Pierce Rogers,561,9.9280694,-84.0907246,San Jos̩,Costa Rica,1,,,40366800000,40626000000,Tue Apr 13 1971 00:00:00 GMT-0500 (EST),Fri Apr 16 1971 00:00:00 GMT-0500 (EST),3
Mexico,Cozumel,"April 16���18, 1971",Vacation.,Mexico,Cozumel,,sec-17,William Pierce Rogers,562,20.4229839,-86.9223432,,Mexico,1,,,40626000000,40798800000,Fri Apr 16 1971 00:00:00 GMT-0500 (EST),Sun Apr 18 1971 00:00:00 GMT-0500 (EST),2
United Kingdom,London,"April 26���29, 1971",Attended SEATO Council Meeting.,United Kingdom,London,,sec-17,William Pierce Rogers,563,51.5073509,-0.1277583,London,United Kingdom,1,,,41486400000,41745600000,Mon Apr 26 1971 00:00:00 GMT-0400 (EDT),Thu Apr 29 1971 00:00:00 GMT-0400 (EDT),3
France,Paris,29-Apr-71,Met with Foreign Minister Schuman.,France,Paris,,sec-17,William Pierce Rogers,564,48.856614,2.3522219,Paris,France,1,,,41745600000,41832000000,Thu Apr 29 1971 00:00:00 GMT-0400 (EDT),Fri Apr 30 1971 00:00:00 GMT-0400 (EDT),1
Turkey,Ankara,"April 29���May 1, 1971",Attended CENTO Ministerial Meeting.,Turkey,Ankara,,sec-17,William Pierce Rogers,565,39.9333635,32.8597419,Ankara,Turkey,1,,,41745600000,41918400000,Thu Apr 29 1971 00:00:00 GMT-0400 (EDT),Sat May 01 1971 00:00:00 GMT-0400 (EDT),2
Saudi Arabia,Riyadh,"May 1���2, 1971",Met with King Faisal and Foreign Minister Saqqaf.,Saudi Arabia,Riyadh,,sec-17,William Pierce Rogers,566,24.7135517,46.6752957,Riyadh,Saudi Arabia,1,,,41918400000,42004800000,Sat May 01 1971 00:00:00 GMT-0400 (EDT),Sun May 02 1971 00:00:00 GMT-0400 (EDT),1
Jordan,Amman,"May 2���3, 1971",Met with King Hussein and senior Jordanian officials. Discussed the Jarring Middle East peace initiative.,Jordan,Amman,,sec-17,William Pierce Rogers,567,31.9453666,35.9283716,Amman,Jordan,1,,,42004800000,42091200000,Sun May 02 1971 00:00:00 GMT-0400 (EDT),Mon May 03 1971 00:00:00 GMT-0400 (EDT),1
Lebanon,Beirut,"May 3���4, 1971",Met with President Frangieh and senior Lebanese officials.,Lebanon,Beirut,,sec-17,William Pierce Rogers,568,33.8937913,35.5017767,Beirut,Lebanon,1,,,42091200000,42177600000,Mon May 03 1971 00:00:00 GMT-0400 (EDT),Tue May 04 1971 00:00:00 GMT-0400 (EDT),1
Egypt,Cairo,"May 4���6, 1971",Met with President Sadat and senior Egyptian officials. Discussed the Jarring peace initiative.,Egypt,Cairo,,sec-17,William Pierce Rogers,569,30.0444196,31.2357116,Cairo,Egypt,1,,,42177600000,42350400000,Tue May 04 1971 00:00:00 GMT-0400 (EDT),Thu May 06 1971 00:00:00 GMT-0400 (EDT),2
Israel,Tel Aviv,"May 6���8, 1971","Met with Prime Minister Meir, Foreign Minister Eban, and senior Israeli officials. Discussed the Jarring peace initiative.",Israel,Tel Aviv,,sec-17,William Pierce Rogers,570,32.0852999,34.7817676,Tel Aviv-Yafo,Israel,1,,,42350400000,42523200000,Thu May 06 1971 00:00:00 GMT-0400 (EDT),Sat May 08 1971 00:00:00 GMT-0400 (EDT),2
Italy,Rome,"May 8���9, 1971",Met with Foreign Minister Moro and senior Italian officials.,Italy,Rome,,sec-17,William Pierce Rogers,571,41.9027835,12.4963655,Rome,Italy,1,,,42523200000,42609600000,Sat May 08 1971 00:00:00 GMT-0400 (EDT),Sun May 09 1971 00:00:00 GMT-0400 (EDT),1
Vatican City,,8-May-71,Audience with Pope Paul VI.,Vatican City,,,sec-17,William Pierce Rogers,572,41.902916,12.453389,,Vatican City,1,,,42523200000,42609600000,Sat May 08 1971 00:00:00 GMT-0400 (EDT),Sun May 09 1971 00:00:00 GMT-0400 (EDT),1
Portugal,Lisbon,"June 1���6, 1971",Attended NATO Ministerial Meeting.,Portugal,Lisbon,,sec-17,William Pierce Rogers,573,38.7222524,-9.1393366,Lisbon,Portugal,1,,,44596800000,45028800000,Tue Jun 01 1971 00:00:00 GMT-0400 (EDT),Sun Jun 06 1971 00:00:00 GMT-0400 (EDT),5
France,Paris,"June 6���9, 1971",Attended the 10th OECD Ministerial Council Meeting.,France,Paris,,sec-17,William Pierce Rogers,574,48.856614,2.3522219,Paris,France,1,,,45028800000,45288000000,Sun Jun 06 1971 00:00:00 GMT-0400 (EDT),Wed Jun 09 1971 00:00:00 GMT-0400 (EDT),3
United Kingdom,Bermuda,"October 29���November 1, 1971",Vacation,United Kingdom,Bermuda,,sec-17,William Pierce Rogers,575,32.3078,-64.7505,,Bermuda,1,,,57556800000,57819600000,Fri Oct 29 1971 00:00:00 GMT-0400 (EDT),Mon Nov 01 1971 00:00:00 GMT-0500 (EST),3
Belgium,Brussels,"December 7���10, 1971",Attended NATO Ministerial Meeting.,Belgium,Brussels,,sec-17,William Pierce Rogers,576,50.8503463,4.3517211,,Belgium,1,,,60930000000,61189200000,Tue Dec 07 1971 00:00:00 GMT-0500 (EST),Fri Dec 10 1971 00:00:00 GMT-0500 (EST),3
